long,lat,hectare,date,age,primary_fur_color
-73.9649611089685,40.7814371834837,21F,10182018,Adult,Cinnamon
-73.9669814346326,40.780390919948,19E,10182018,Adult,Gray
-73.9728360875598,40.7660637295671,03H,10142018,Adult,Black
-73.9775067398903,40.7726566142401,07B,10082018,Adult,Gray
-73.9691094942294,40.776760392858,14E,10082018,Adult,Gray
-73.9713070217071,40.7753795014815,12E,10172018,Adult,Gray
-73.9677387336667,40.7742695912,12H,10072018,Adult,Gray
-73.9563720614251,40.7879453306251,31I,10192018,Adult,Gray
-73.9685604013735,40.7773439909065,15F,10102018,Adult,Gray
-73.9528482858163,40.7922056218325,36I,10072018,Juvenile,Cinnamon
-73.9734762649298,40.7663703404546,03H,10082018,Adult,Gray
-73.9698611971209,40.7753915552001,13F,10082018,Adult,Gray
-73.9596505138955,40.7940367734988,35C,10132018,Adult,Gray
-73.9574648097543,40.7892508428622,31H,10082018,Juvenile,Gray
-73.9728723853967,40.7670816164986,04H,10062018,Adult,Gray
-73.9723736494597,40.7669501343297,04H,10062018,Adult,Gray
-73.9691453885964,40.7770524089712,15E,10082018,Adult,Gray
-73.9595757792683,40.7899242643847,31E,10062018,Adult,Gray
-73.9772624834791,40.7692821918543,04C,10102018,Adult,Gray
-73.9662864884789,40.7891062338302,28A,10072018,Adult,Gray
-73.969756965598,40.7786455091699,16D,10102018,Adult,Gray
-73.9724806580638,40.7710077206132,07F,10082018,Juvenile,Gray
-73.9665363265054,40.7844967881001,23C,10142018,Adult,Gray
-73.9568305513017,40.7974086631267,40C,10062018,Adult,Gray
-73.9590868748584,40.7906047630418,32E,10172018,Adult,Gray
-73.9658747245917,40.7754033737532,14I,10182018,Juvenile,Gray
-73.9657040391563,40.7755567428199,15I,10082018,Adult,Cinnamon
-73.9657288055011,40.7764580036287,16H,10142018,Adult,Gray
-73.9596964641652,40.7957753591585,37B,10182018,Adult,Gray
-73.9630990823243,40.7885764284016,28D,10122018,Adult,Black
-73.9697196619878,40.7814068507607,19B,10192018,Juvenile,Gray
-73.9673490137465,40.7782728130401,17F,10202018,Adult,Gray
-73.9791085350047,40.7677025342633,02C,10132018,Adult,Gray
-73.9766693184436,40.7708879215854,06C,10202018,Adult,Gray
-73.957138759793,40.7955926035055,38D,10062018,Adult,Gray
-73.9749641575871,40.7673305056277,03F,10062018,Adult,Cinnamon
-73.9707542189896,40.7717032986885,09G,10072018,Adult,Gray
-73.9798005188704,40.7691868791734,03A,10172018,Adult,Cinnamon
-73.9654409838612,40.7901338748522,29A,10132018,Adult,Gray
-73.9679661308374,40.7837388390673,22C,10132018,Adult,Gray
-73.9707937464541,40.7725282708448,10G,10172018,Adult,Black
-73.9683066605832,40.7781213930544,16E,10182018,Adult,Gray
-73.9589475065438,40.7934846881536,35D,10132018,Adult,Gray
-73.9559520137172,40.7950536287174,38E,10102018,Adult,Gray
-73.9523001834395,40.7949231000186,39H,10072018,Adult,Gray
-73.9705254801,40.7763606494306,13E,10172018,Adult,Gray
-73.9520592496349,40.7975076299811,42G,10142018,Adult,Cinnamon
-73.9778730762957,40.770827251547,05B,10132018,Adult,Gray
-73.9669017345324,40.7766928987073,15G,10082018,Adult,Gray
-73.9708032298419,40.7784265674544,15C,10102018,Adult,Gray
-73.9610985171525,40.7913867116989,32D,10132018,Adult,Cinnamon
-73.9757001944781,40.769499790547,05E,10082018,Adult,Cinnamon
-73.959701727877,40.790660026971,32E,10072018,Adult,Black
-73.9527430510248,40.7924807950552,36I,10072018,Juvenile,Gray
-73.956502663005,40.788160908881,30I,10062018,Adult,Gray
-73.9761527947483,40.7709607002539,06C,10072018,Adult,Gray
-73.9603268255317,40.7900154505092,31E,10062018,Adult,Gray
-73.9734969320943,40.7722754599865,08E,10132018,Adult,Gray
-73.96388775887,40.7915477304252,31A,10102018,Adult,Gray
-73.9600963639087,40.7934962325313,34C,10072018,Adult,Black
-73.9714952092767,40.7748063281815,12E,10172018,Adult,Gray
-73.9564599077179,40.7965185098695,39D,10122018,Adult,Gray
-73.9634811495245,40.790705585077,30B,10072018,Adult,Gray
-73.962534856258,40.7812134517411,22H,10072018,Adult,Cinnamon
-73.9669207809051,40.7792767850126,18F,10082018,Adult,Gray
-73.9617490680298,40.7921537849244,32C,10132018,Adult,Gray
-73.9765877920583,40.7660946071574,01F,10102018,Adult,Gray
-73.9677146741772,40.7788231332337,17E,10172018,Adult,Gray
-73.9741621946917,40.7752481472025,11C,10182018,Adult,Gray
-73.9744025383371,40.7777296605765,13A,10172018,Adult,Gray
-73.9546616782922,40.790974533739,34I,10102018,Adult,Gray
-73.9690212174,40.7834099404107,21B,10172018,Juvenile,Gray
-73.9695507965155,40.7743070423435,12F,10072018,Adult,Gray
-73.9745800592393,40.767356541975,03F,10062018,Juvenile,Gray
-73.9689893412693,40.785308737683,23A,10182018,Juvenile,Gray
